country_ISO3,technology_field,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,number_of_companies
FRA,Nuclear,0.0,0.0,4.878048780487805,4.878048780487805,6.833333333333333
FRA,Other Energy,1.0828061776941929,2.450561349518436,6.297372770274122,10.970536274006953,292.45
FRA,Other Renewables,2.2153727605471003,3.0822577538046616,6.068194952802928,10.01733769986515,173.03333333333333
FRA,Solar,1.3071895424836601,2.6143790849673203,6.535947712418301,8.932461873638344,76.5
FRA,Storage (not electromobility),3.3632286995515694,3.3632286995515694,5.605381165919282,19.058295964125556,14.866666666666667
FRA,Wind,0.0,3.1413612565445024,3.1413612565445024,8.37696335078534,15.916666666666666
FRO,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
GAB,Fossil Fuels,0.0,0.0,0.0,0.0,0.5
GAB,Other Energy,0.0,0.0,0.0,0.0,0.5
GBR,Bioenergy,0.0,0.0,14.117647058823529,14.117647058823529,7.083333333333333
GBR,Energy Efficiency,1.1600114726409383,1.7846330348322126,4.283119283597311,6.915453009974824,373.5595238095238
GBR,Fossil Fuels,9.282496958804126,13.73195831095817,21.902089931723783,30.110578977939007,434.5095238095238
GBR,Grid,2.4461839530332674,2.8375733855185903,7.240704500978473,13.845401174168295,170.33333333333334
GBR,Hybrid and Electric mobility,0.0,0.0,2.0618556701030926,3.0927835051546393,97.0
GBR,Hydrogen and Fuel Cells,0.0,5.915492957746479,5.915492957746479,13.802816901408448,4.226190476190476
GBR,Nuclear,0.0,3.478260869565217,3.478260869565217,6.086956521739129,9.583333333333334
GBR,Other Energy,4.3080634639292,6.3220831333161005,10.673227231884592,17.286104649015915,773.7428571428571
GBR,Other Renewables,2.2233044656658265,2.9644059542211023,5.97821867434589,10.301310690918331,337.3357142857143
GBR,Solar,0.4375091147732244,1.0208546011375237,2.1875455738661223,3.791745661367945,114.28333333333333
GBR,Storage (not electromobility),1.6719212763924716,4.346995318620426,6.353300850291392,9.529951275437089,49.84285714285714
GBR,Wind,0.0,0.0,2.564102564102564,15.384615384615385,19.5
GEO,Energy Efficiency,0.0,0.0,0.0,0.0,1.0
GGY,Fossil Fuels,100.0,100.0,100.0,100.0,0.5
GGY,Other Energy,100.0,100.0,100.0,100.0,1.0
GGY,Other Renewables,100.0,100.0,100.0,100.0,0.5
GGY,Solar,0.0,0.0,0.0,0.0,0.5
GGY,Wind,0.0,0.0,0.0,0.0,0.5
GHA,Energy Efficiency,0.0,0.0,0.0,0.0,1.0
GHA,Fossil Fuels,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,7.0
GHA,Grid,0.0,0.0,0.0,0.0,2.333333333333333
GHA,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
GHA,Other Energy,8.823529411764705,8.823529411764705,8.823529411764705,8.823529411764705,5.666666666666667
GHA,Other Renewables,0.0,0.0,0.0,0.0,3.0
GHA,Solar,25.0,25.0,25.0,25.0,2.0
GIB,Fossil Fuels,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,1.5
GIB,Other Energy,100.0,100.0,100.0,100.0,0.5
GIB,Other Renewables,0.0,0.0,0.0,0.0,1.0
GIN,Other Energy,0.0,0.0,0.0,0.0,1.0
GRC,Bioenergy,0.0,0.0,0.0,0.0,0.5
GRC,Energy Efficiency,0.0,0.0,0.0,0.0,25.82142857142857
GRC,Fossil Fuels,0.0,0.0,0.0,4.651162790697675,10.75
GRC,Grid,0.0,0.0,0.0,0.0,7.0
GRC,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,2.0
GRC,Other Energy,0.0,0.0,2.9382957884427032,8.81488736532811,34.03333333333333
GRC,Other Renewables,0.0,0.0,0.0,0.0,10.0
GRC,Solar,0.0,0.0,0.0,1.6943682426980795,29.50952380952381
GRC,Storage (not electromobility),0.0,0.0,0.0,0.0,1.2095238095238094
GRC,Wind,0.0,0.0,0.0,0.0,1.176190476190476
GTM,Energy Efficiency,0.0,0.0,0.0,0.0,0.75
GTM,Grid,100.0,100.0,100.0,100.0,1.0
GTM,Other Energy,0.0,0.0,0.0,0.0,0.25
GTM,Other Renewables,0.0,0.0,0.0,0.0,0.5
GTM,Solar,0.0,0.0,0.0,0.0,1.5
GUY,Fossil Fuels,0.0,0.0,0.0,0.0,0.5
GUY,Other Energy,0.0,0.0,0.0,0.0,0.5
